"WINTER STORM"			"WINTER STORM"
"DENSE FOG"			"DENSE FOG"
"WINTRY MIX"			NA
"TSTM WIND"			NA
"MUD SLIDE"			NA
"MUDSLIDES"			NA
"MUDSLIDE"			NA
"FROST"			NA
"FROST/FREEZE"			"FROST/FREEZE"
"SNOW AND ICE"			NA
"WIND DAMAGE"			NA
"RAIN (HEAVY)"			"HEAVY RAIN"
"RECORD WARMTH"			NA
"PROLONG COLD"			NA
"COLD AND FROST"			NA
"RECORD COLD"			NA
"PROLONG COLD"			NA
"AGRICULTURAL FREEZE"			NA
"URBAN/SML STREAM FLDG"			NA
"SNOW SQUALL"			NA
"HEAVY SNOW SQUALLS"			NA
"SNOW/ICE"			NA
"GUSTY WINDS"			NA
"SMALL HAIL"			NA
"SNOW SQUALLS"			NA
"LAKE EFFECT SNOW"			"LAKE-EFFECT SNOW"
"STRONG WIND GUST"			"STRONG WIND"
"LATE FREEZE"			NA
"RECORD TEMPERATURES"			NA
"ICY ROADS"			NA
"RECORD SNOWFALL"			NA
"BLOW-OUT TIDE"			NA
"THUNDERSTORM"			"THUNDERSTORM WIND"
"HYPOTHERMIA/EXPOSURE"			NA
"HYPOTHERMIA/EXPOSURE"			NA
"LAKE EFFECT SNOW"			"LAKE-EFFECT SNOW"
"MIXED PRECIPITATION"			NA
"RECORD HIGH"			NA
"COASTALSTORM"			NA
"LIGHT SNOW"			NA
"SNOW AND SLEET"			NA
"FREEZING RAIN"			NA
"GUSTY WINDS"			NA
"FUNNEL CLOUDS"			"FUNNEL CLOUD"
"WATERSPOUTS"			"WATERSPOUT"
"FROST"			NA
"ICE"			NA
"GRADIENT WIND"			NA
"ICESTORM/BLIZZARD"			NA
"FLOOD/STRONG WIND"			NA
"TSTM WIND AND LIGHTNING"			NA
"GRADIENT WIND"			NA
"SEVERE THUNDERSTORMS"			NA
"EXCESSIVE RAIN"			NA
"FREEZING DRIZZLE"			NA
"MOUNTAIN SNOWS"			NA
"URBAN/SMALL STRM FLDG"			NA
"WET MICROBURST"			NA
"HEAVY SURF AND WIND"			NA
"MILD AND DRY PATTERN"			NA
"COLD AND FROST"			NA
"RECORD HEAT"			NA
"TYPHOON"			NA
"LANDSLIDES"			NA
"HIGH SWELLS"			NA
"HIGH  SWELLS"			NA
"VOLCANIC ASH"			"VOLCANIC ASH"
"HIGH WINDS"			"HIGH WIND"
"DRY SPELL"			NA
"LIGHTNING"			"LIGHTNING"
"BEACH EROSION"			NA
"UNSEASONAL RAIN"			NA
"EARLY RAIN"			NA
"PROLONGED RAIN"			NA
"WINTERY MIX"			NA
"COASTAL FLOODING/EROSION"			NA
"UNSEASONABLY WET"			NA
"HOT SPELL"			NA
"HEAT WAVE"			NA
"UNSEASONABLY HOT"			NA
"UNSEASONABLY WARM AND DRY"			NA
"TSTM WIND (G45)"			NA
"TSTM WIND  (G45)"			NA
"HIGH WIND (G40)"			NA
"TSTM WIND (G35)"			NA
"DRY WEATHER"			NA
"TSTM WINDS"			NA
"FREEZING RAIN/SLEET"			NA
"ABNORMAL WARMTH"			NA
"UNUSUAL WARMTH"			NA
"GLAZE"			NA
"WAKE LOW WIND"			NA
"MONTHLY RAINFALL"			NA
"COLD TEMPERATURES"			NA
"COLD WIND CHILL TEMPERATURES"			"EXTREME COLD/WIND CHILL"
"MODERATE SNOW"			NA
"MODERATE SNOWFALL"			NA
"URBAN/STREET FLOODING"			NA
"COASTAL EROSION"			NA
"UNUSUAL/RECORD WARMTH"			NA
"BITTER WIND CHILL"			NA
"BITTER WIND CHILL TEMPERATURES"			NA
"SEICHE"			"SEICHE"
"TSTM"			NA
"COASTAL  FLOODING/EROSION"			NA
"SNOW DROUGHT"			NA
"UNSEASONABLY WARM YEAR"			NA
"HYPERTHERMIA/EXPOSURE"			NA
"SNOW/SLEET"			NA
"ROCK SLIDE"			NA
"ICE PELLETS"			NA
"URBAN FLOOD"			NA
"PATCHY DENSE FOG"			NA
"RECORD COOL"			NA
"RECORD WARM"			NA
"HOT WEATHER"			NA
"RIVER FLOODING"			NA
"RECORD TEMPERATURE"			NA
"SAHARAN DUST"			NA
"TROPICAL DEPRESSION"			"TROPICAL DEPRESSION"
"VOLCANIC ERUPTION"			NA
"COOL SPELL"			NA
"WIND ADVISORY"			NA
"GUSTY WIND/HAIL"			NA
"RED FLAG FIRE WX"			NA
"FIRST FROST"			NA
"EXCESSIVELY DRY"			NA
"HEAVY SEAS"			NA
"FLASH FLOOD/FLOOD"			"FLASH FLOOD"
"SNOW AND SLEET"			NA
"LIGHT SNOW/FREEZING PRECIP"			NA
"VOG"			NA
"EXCESSIVE RAINFALL"			NA
"FLASH FLOODING"			"FLASH FLOOD"
"MONTHLY PRECIPITATION"			NA
"MONTHLY TEMPERATURE"			NA
"RECORD DRYNESS"			NA
"EXTREME WINDCHILL TEMPERATURES"			NA
"MIXED PRECIPITATION"			NA
"EXTREME WIND CHILL"			"EXTREME COLD/WIND CHILL"
"DRY CONDITIONS"			NA
"HEAVY RAINFALL"			NA
"REMNANTS OF FLOYD"			NA
"EARLY SNOWFALL"			NA
"FREEZING FOG"			"FREEZING FOG"
"LANDSPOUT"			NA
"DRIEST MONTH"			"STORM TIDE"
"RECORD  COLD"			NA
"LATE SEASON HAIL"			NA
"EXCESSIVE SNOW"			NA
"WINTER MIX"			NA
"DRYNESS"			NA
"FLOOD/FLASH/FLOOD"			"FLASH FLOOD"
"WIND AND WAVE"			NA
"SEVERE THUNDERSTORM"			NA
"LIGHT FREEZING RAIN"			NA
"WIND"			NA
"MONTHLY SNOWFALL"			NA
"DRY"			NA
"RECORD RAINFALL"			NA
"RECORD PRECIPITATION"			NA
"ICE ROADS"			NA
"HIGH SEAS"			NA
"SLEET"			"SLEET"
"ROUGH SEAS"			NA
"UNSEASONABLY WARM/WET"			NA
"UNSEASONABLY COOL & WET"			NA
"UNUSUALLY WARM"			NA
"TSTM WIND G45"			NA
"NON SEVERE HAIL"			NA
"RECORD SNOW"			NA
"SNOW/FREEZING RAIN"			NA
"SNOW/BLOWING SNOW"			NA
"NON-SEVERE WIND DAMAGE"			NA
"UNUSUALLY COLD"			NA
"WARM WEATHER"			NA
"LANDSLUMP"			NA
"THUNDERSTORM WIND (G40)"			"THUNDERSTORM WIND"
"LANDSLIDE"			NA
"WALL CLOUD"			NA
"HIGH WATER"			NA
"UNSEASONABLY WARM & WET"			NA
"FLASH FLOOD"			"FLASH FLOOD"
"LOCALLY HEAVY RAIN"			NA
"WIND GUSTS"			NA
"UNSEASONAL LOW TEMP"			NA
"HIGH SURF ADVISORY"			NA
"LATE SEASON SNOW"			NA
"GUSTY LAKE WIND"			NA
"ABNORMALLY DRY"			NA
"WINTER WEATHER MIX"			"WINTER WEATHER"
"RED FLAG CRITERIA"			NA
"WND"			NA
"CSTL FLOODING/EROSION"			NA
"SMOKE"			NA
"WATERSPOUT"			"WATERSPOUT"
"SNOW ADVISORY"			NA
"EXTREMELY WET"			NA
"UNUSUALLY LATE SNOW"			NA
"VERY DRY"			NA
"RECORD LOW RAINFALL"			NA
"ROGUE WAVE"			NA
"SNOWMELT FLOODING"			NA
"PROLONG WARMTH"			NA
"ACCUMULATED SNOWFALL"			NA
"FALLING SNOW/ICE"			NA
"DUST DEVEL"			"DUST DEVIL"
"NON-TSTM WIND"			NA
"NON TSTM WIND"			NA
"BRUSH FIRE"			NA
"GUSTY THUNDERSTORM WINDS"			"THUNDERSTORM WIND"
"PATCHY ICE"			NA
"SNOW SHOWERS"			NA
"HEAVY RAIN EFFECTS"			NA
"BLOWING DUST"			NA
"EXCESSIVE HEAT/DROUGHT"			NA
"NORTHERN LIGHTS"			NA
"MARINE TSTM WIND"			"MARINE THUNDERSTORM WIND"
"HIGH SURF ADVISORY"			NA
"WIND CHILL"			"COLD/WIND CHILL"
"HAZARDOUS SURF"			NA
"WILDFIRE"			"WILDFIRE"
"FROST/FREEZE"			"FROST/FREEZE"
"WINTER WEATHER/MIX"			"WINTER WEATHER"
"ASTRONOMICAL HIGH TIDE"			NA
"COLD WEATHER"			NA
"WHIRLWIND"			NA
"VERY WARM"			NA
"ABNORMALLY WET"			NA
"TORNADO DEBRIS"			NA
"EXTREME COLD/WIND CHILL"			"EXTREME COLD/WIND CHILL"
"ICE ON ROAD"			NA
"FIRST SNOW"			NA
"ICE/SNOW"			NA
"DROWNING"			NA
"GUSTY THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"MARINE HAIL"			"MARINE HAIL"
"HIGH SURF ADVISORIES"			NA
"HURRICANE/TYPHOON"			"HURRICANE/TYPHOON"
"HEAVY SURF/HIGH SURF"			"HIGH SURF"
"SLEET STORM"			NA
"STORM SURGE/TIDE"			NA
"COLD/WIND CHILL"			"COLD/WIND CHILL"
"LAKE-EFFECT SNOW"			"LAKE-EFFECT SNOW"
"MARINE HIGH WIND"			"MARINE HIGH WIND"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"TSUNAMI"			"TSUNAMI"
"DENSE SMOKE"			"DENSE SMOKE"
"LAKESHORE FLOOD"			"LAKESHORE FLOOD"
"MARINE THUNDERSTORM WIND"			"MARINE THUNDERSTORM WIND"
"MARINE STRONG WIND"			"MARINE STRONG WIND"
"ASTRONOMICAL LOW TIDE"			"ASTRONOMICAL LOW TIDE"
"VOLCANIC ASHFALL"			"VOLCANIC ASH"
